date,number
2024-02-08,471196
2024-02-09,472359
2024-02-10,473092
2024-02-11,474116
2024-02-12,475342
2024-02-13,476638
2024-02-14,477901
2024-02-15,479333
2024-02-16,480775
2024-02-17,481939
2024-02-18,483004
2024-02-19,484700
2024-02-20,486039
2024-02-21,487368
2024-02-22,488687
2024-02-23,490081
2024-02-24,491124
2024-02-25,492405
2024-02-26,493763
2024-02-27,495619
2024-02-28,497050
2024-02-29,498709
2024-03-01,500256
2024-03-02,501381
2024-03-03,502568
2024-03-04,504278
2024-03-05,506005
2024-03-06,507426
2024-03-07,508747
2024-03-08,510099
2024-03-09,511275
2024-03-10,512616
2024-03-11,514143
2024-03-12,515740
2024-03-13,517358
2024-03-14,518854
2024-03-15,520198
2024-03-16,521308
2024-03-17,522421
2024-03-18,523787
2024-03-19,525231
2024-03-20,526624
2024-03-21,527952
2024-03-22,529139
2024-03-23,530514
2024-03-24,531680
2024-03-25,533031
2024-03-26,534615
2024-03-27,536036
2024-03-28,537404
2024-03-29,538796
2024-03-30,539977
2024-03-31,541105
2024-04-01,542587
2024-04-02,544170
2024-04-03,545720
2024-04-04,547544
2024-04-05,549196
2024-04-06,550793
2024-04-07,552256
2024-04-08,554209
2024-04-09,556190
2024-04-10,557763
2024-04-11,559379
2024-04-12,560880
2024-04-13,562111
2024-04-14,563460
2024-04-15,565003
2024-04-16,566842
2024-04-17,568620
2024-04-18,570393
2024-04-19,572007
2024-04-20,573463
2024-04-21,575086
2024-04-22,576863
2024-04-23,578709
2024-04-24,580508
2024-04-25,582220
2024-04-26,583974
2024-04-27,585150
2024-04-28,586495
2024-04-29,588213
2024-04-30,589922
2024-05-01,591561
2024-05-02,593402
2024-05-03,595121
2024-05-04,596480
2024-05-05,598104
2024-05-06,599775
2024-05-07,601644
2024-05-08,603129
2024-05-09,604708
2024-05-10,606404
2024-05-11,607957
2024-05-12,609471
2024-05-13,611197
2024-05-14,612910
2024-05-15,614695
2024-05-16,616400
2024-05-17,617989
2024-05-18,619353
2024-05-19,620826
2024-05-20,622735
2024-05-21,624775
2024-05-22,626792
2024-05-23,628548
2024-05-24,630146
2024-05-25,631893
2024-05-26,633476
2024-05-27,635587
2024-05-28,638396
2024-05-29,640670
2024-05-30,642756
2024-05-31,645038
2024-06-01,646591
2024-06-02,648635
2024-06-03,650864
2024-06-04,653022
2024-06-05,655351
2024-06-06,657310
2024-06-07,658976
2024-06-08,660292
2024-06-09,661587
2024-06-10,663137
2024-06-11,665051
2024-06-12,667061
2024-06-13,668858
2024-06-14,671039
2024-06-15,672270
2024-06-16,673430
2024-06-17,675170
2024-06-18,677102
2024-06-19,678981
2024-06-20,680765
2024-06-21,682780
2024-06-22,684110
2024-06-23,685699
2024-06-24,687460
2024-06-25,689471
2024-06-26,691222
2024-06-27,693127
2024-06-28,695039
2024-06-29,696170
2024-06-30,697456
2024-07-01,699081
2024-07-02,700708
2024-07-03,702255
2024-07-04,703802
2024-07-05,705150
2024-07-06,706192
2024-07-07,707244
2024-07-08,708847
2024-07-09,710357
2024-07-10,711912
2024-07-11,713644
2024-07-12,714990
2024-07-13,716078
2024-07-14,717567
2024-07-15,719527
2024-07-16,721606
2024-07-17,723844
2024-07-18,726136
2024-07-19,727880
2024-07-20,729520
2024-07-21,731069
2024-07-22,733587
2024-07-23,736045
2024-07-24,738156
2024-07-25,740330
2024-07-26,742473
2024-07-27,744342
2024-07-28,746244
2024-07-29,748676
2024-07-30,751057
2024-07-31,753211
2024-08-01,755392
2024-08-02,757446
2024-08-03,759023
2024-08-04,760590
2024-08-05,762313
2024-08-06,764264
2024-08-07,766087
2024-08-08,768019
2024-08-09,769927
2024-08-10,771632
2024-08-11,773355
2024-08-12,775482
2024-08-13,777967
2024-08-14,780557
2024-08-15,783367
2024-08-16,785945
2024-08-17,788133
2024-08-18,790457
2024-08-19,793182
2024-08-20,796346
2024-08-21,799419
2024-08-22,803194
2024-08-23,806572
2024-08-24,809383
2024-08-25,812105
2024-08-26,815405
2024-08-27,818884
2024-08-28,822248
2024-08-29,825703
2024-08-30,829255
2024-08-31,832401
2024-09-01,835770
2024-09-02,839704
2024-09-03,843465
2024-09-04,847737
2024-09-05,851763
2024-09-06,855822
2024-09-07,859562
2024-09-08,863482
2024-09-09,868882
2024-09-10,873711
2024-09-11,877776
2024-09-12,881966
2024-09-13,887024
2024-09-14,892045
2024-09-15,896426
2024-09-16,900561
2024-09-17,904491
2024-09-18,908531
2024-09-19,912582
2024-09-20,916369
2024-09-21,919681
2024-09-22,924205
2024-09-23,928927
2024-09-24,933757
2024-09-25,938165
2024-09-26,943023
2024-09-27,947177
2024-09-28,950811
2024-09-29,954675
2024-09-30,958545
2024-10-01,962324
2024-10-02,965680
2024-10-03,968147
2024-10-04,970279
2024-10-05,972082
2024-10-06,974220
2024-10-07,976410
2024-10-08,978868
2024-10-09,980806
2024-10-10,982864
2024-10-11,984907
2024-10-12,986589
2024-10-13,988428
2024-10-14,990319
2024-10-15,992242
2024-10-16,994542
2024-10-17,996507
2024-10-18,998528
2024-10-19,1000104
2024-10-20,1001553
2024-10-21,1003748
2024-10-22,1005862
2024-10-23,1008013
2024-10-24,1010154
2024-10-25,1012046
2024-10-26,1013942
2024-10-27,1015588
2024-10-28,1017580
2024-10-29,1019596
2024-10-30,1022173
2024-10-31,1024561
2024-11-01,1026857
2024-11-02,1028759
2024-11-03,1030715
2024-11-04,1033099
2024-11-05,1035602
2024-11-06,1038250
2024-11-07,1040845
2024-11-08,1043144
2024-11-09,1045067
2024-11-10,1047511
2024-11-11,1050268
2024-11-12,1053042
2024-11-13,1055616
2024-11-14,1058144
2024-11-15,1060347
2024-11-16,1062381
2024-11-17,1064801
2024-11-18,1067175
2024-11-19,1070050
2024-11-20,1072564
2024-11-21,1075124
2024-11-22,1077412
2024-11-23,1079462
2024-11-24,1081333
2024-11-25,1083903
2024-11-26,1086759
2024-11-27,1089176
2024-11-28,1091699
2024-11-29,1093961
2024-11-30,1096017
2024-12-01,1098069
2024-12-02,1100781
2024-12-03,1103157
2024-12-04,1106112
2024-12-05,1109233
2024-12-06,1111718
2024-12-07,1113887
2024-12-08,1116398
2024-12-09,1119581
2024-12-10,1122895
2024-12-11,1125994
2024-12-12,1129055
2024-12-13,1131663
2024-12-14,1133965
2024-12-15,1136554
2024-12-16,1139748
2024-12-17,1142703
2024-12-18,1145074
2024-12-19,1147497
2024-12-20,1150156
2024-12-21,1152069
2024-12-22,1154223
2024-12-23,1156706
2024-12-24,1159275
2024-12-25,1161551
2024-12-26,1164097
2024-12-27,1166334
2024-12-28,1168813
2024-12-29,1171306
2024-12-30,1173806
2024-12-31,1176357
2025-01-01,1178247
2025-01-02,1180636
2025-01-03,1183154
2025-01-04,1185157
2025-01-05,1187557
2025-01-06,1189930
2025-01-07,1192338
2025-01-08,1195294
2025-01-09,1197945
2025-01-10,1200775
2025-01-11,1203175
2025-01-12,1205867
2025-01-13,1209363
2025-01-14,1213305
2025-01-15,1217692
2025-01-16,1221818
2025-01-17,1225698
2025-01-18,1229180
2025-01-19,1232316
2025-01-20,1236227
2025-01-21,1240333
2025-01-22,1244502
2025-01-23,1248701
2025-01-24,1252802
2025-01-25,1256744
2025-01-26,1260245
2025-01-27,1264206
2025-01-28,1268253
2025-01-29,1272619
2025-01-30,1276187
2025-01-31,1280051
2025-02-01,1283352
2025-02-02,1287864
2025-02-03,1291836
2025-02-04,1295987
2025-02-05,1299861
2025-02-06,1303786
2025-02-07,1307500
2025-02-08,1310927
2025-02-09,1314629
2025-02-10,1318563
2025-02-11,1323229
2025-02-12,1327243
2025-02-13,1331399
2025-02-14,1334509
2025-02-15,1336938
2025-02-16,1339431
2025-02-17,1342942
2025-02-18,1346617
2025-02-19,1349922
2025-02-20,1353237
2025-02-21,1356177
2025-02-22,1358928
2025-02-23,1361826
2025-02-24,1365263
2025-02-25,1368349
2025-02-26,1371652
2025-02-27,1374678
2025-02-28,1377931
2025-03-01,1380666
2025-03-02,1383440
2025-03-03,1386357
2025-03-04,1389621
2025-03-05,1392660
2025-03-06,1395647
2025-03-07,1398340
2025-03-08,1401011
2025-03-09,1403856
2025-03-10,1406762
2025-03-11,1409680
2025-03-12,1412839
2025-03-13,1416111
2025-03-14,1419482
2025-03-15,1421914
2025-03-16,1424540
2025-03-17,1427727
2025-03-18,1430993
2025-03-19,1434499
2025-03-20,1437966
2025-03-21,1440943
2025-03-22,1443397
2025-03-23,1446596
2025-03-24,1449918
2025-03-25,1453719
2025-03-26,1458003
2025-03-27,1461769
2025-03-28,1465499
2025-03-29,1468328
2025-03-30,1471284
2025-03-31,1474545
2025-04-01,1478367
2025-04-02,1481980
2025-04-03,1485934
2025-04-04,1489859
2025-04-05,1492818
2025-04-06,1496320
2025-04-07,1500054
2025-04-08,1503964
2025-04-09,1507388
2025-04-10,1510999
2025-04-11,1514517
2025-04-12,1517520
2025-04-13,1520602
2025-04-14,1523943
2025-04-15,1527284
2025-04-16,1530441
2025-04-17,1533747
2025-04-18,1536965
2025-04-19,1539622
2025-04-20,1542466
2025-04-21,1545808
2025-04-22,1549778
2025-04-23,1553430
2025-04-24,1557410
2025-04-25,1560958
2025-04-26,1564088
2025-04-27,1567299
2025-04-28,1571190
2025-04-29,1575033
2025-04-30,1578909
2025-05-01,1582427
2025-05-02,1585895
2025-05-03,1589031
2025-05-04,1592116
2025-05-05,1595725
2025-05-06,1599537
2025-05-07,1602802
2025-05-08,1606120
2025-05-09,1609597
2025-05-10,1613285
2025-05-11,1616566
2025-05-12,1620124
2025-05-13,1624349
2025-05-14,1629062
2025-05-15,1633718
2025-05-16,1637247
2025-05-17,1639986
2025-05-18,1643105
2025-05-19,1647102
2025-05-20,1651271
2025-05-21,1654707
2025-05-22,1658405
2025-05-23,1662023
2025-05-24,1665328
2025-05-25,1668512
2025-05-26,1671713
2025-05-27,1675424
2025-05-28,1678692
2025-05-29,1682050
2025-05-30,1685564
2025-05-31,1687976
2025-06-01,1690453
2025-06-02,1694103
2025-06-03,1697574
2025-06-04,1700929
2025-06-05,1704099
2025-06-06,1707372
2025-06-07,1709959
2025-06-08,1712436
2025-06-09,1715599
2025-06-10,1719081
2025-06-11,1721851
2025-06-12,1724881
2025-06-13,1727565
2025-06-14,1730175
2025-06-15,1733130
2025-06-16,1736032
2025-06-17,1739225
2025-06-18,1741827
2025-06-19,1744408
2025-06-20,1746790
2025-06-21,1748423
2025-06-22,1750163
2025-06-23,1752583
2025-06-24,1755152
2025-06-25,1757840
2025-06-26,1760764
2025-06-27,1763610
2025-06-28,1765949
2025-06-29,1768277
2025-06-30,1770895
2025-07-01,1773362
2025-07-02,1776028
2025-07-03,1778818
2025-07-04,1780959
2025-07-05,1783356
2025-07-06,1785536
2025-07-07,1788706
2025-07-08,1791531
2025-07-09,1794126
2025-07-10,1797139
2025-07-11,1799863
2025-07-12,1801835
2025-07-13,1803573
2025-07-14,1805851
2025-07-15,1808467
2025-07-16,1811397
2025-07-17,1814343
2025-07-18,1816991
2025-07-19,1818928
2025-07-20,1820929
2025-07-21,1823564
2025-07-22,1826516
2025-07-23,1829605
2025-07-24,1832651
2025-07-25,1835143
2025-07-26,1837139
2025-07-27,1839177
2025-07-28,1841560
2025-07-29,1843946
2025-07-30,1846479
2025-07-31,1849075
2025-08-01,1851405
2025-08-02,1853211
2025-08-03,1855199
2025-08-04,1857673
2025-08-05,1860403
2025-08-06,1863191
2025-08-07,1865867
2025-08-08,1868088
2025-08-09,1870030
2025-08-10,1872471
2025-08-11,1876042
2025-08-12,1879387
2025-08-13,1882357
2025-08-14,1885107
2025-08-15,1888576
2025-08-16,1891841
2025-08-17,1894439
2025-08-18,1897951
2025-08-19,1902002
2025-08-20,1905653
2025-08-21,1909505
2025-08-22,1913367
2025-08-23,1916918
2025-08-24,1920630
2025-08-25,1925362
2025-08-26,1929617
2025-08-27,1933936
2025-08-28,1937707
2025-08-29,1941317
2025-08-30,1944352
2025-08-31,1946990
2025-09-01,1950556
2025-09-02,1953958
2025-09-03,1956993
2025-09-04,1960097
2025-09-05,1963138
2025-09-06,1965565
2025-09-07,1967927
2025-09-08,1971078
2025-09-09,1973961
2025-09-10,1977010
2025-09-11,1979821
2025-09-12,1982329
2025-09-13,1984525
2025-09-14,1986609
2025-09-15,1989846
2025-09-16,1993040
2025-09-17,1995725
2025-09-18,1998725
2025-09-19,2001780
2025-09-20,2004576
2025-09-21,2006764
2025-09-22,2009717
2025-09-23,2012896
2025-09-24,2015688
2025-09-25,2018283
2025-09-26,2021028
2025-09-27,2022826
2025-09-28,2024880
2025-09-29,2027593
2025-09-30,2030063
2025-10-01,2032883
2025-10-02,2035181
2025-10-03,2037957
2025-10-04,2039814
2025-10-05,2041787
2025-10-06,2044049
2025-10-07,2046694
2025-10-08,2049235
2025-10-09,2052537
2025-10-10,2055739
2025-10-11,2058604
2025-10-12,2061525
2025-10-13,2064817
2025-10-14,2068676
2025-10-15,2071919
2025-10-16,2075898
2025-10-17,2079856
2025-10-18,2082606
2025-10-19,2085492
2025-10-20,2087817
2025-10-21,2090682
2025-10-22,2094225
2025-10-23,2098071
2025-10-24,2101737
2025-10-25,2105973
2025-10-26,2110100
2025-10-27,2114723
2025-10-28,2119458
2025-10-29,2124388
2025-10-30,2129487
2025-10-31,2134560
2025-11-01,2138946
2025-11-02,2143640
2025-11-03,2148462
2025-11-04,2153229
2025-11-05,2157849
2025-11-06,2162999
2025-11-07,2168079
2025-11-08,2172794
2025-11-09,2177839
2025-11-10,2183062
2025-11-11,2188259
2025-11-12,2193936
2025-11-13,2199465
2025-11-14,2204095
2025-11-15,2206684
2025-11-16,2209458
2025-11-17,2212466
2025-11-18,2215041
2025-11-19,2218098
2025-11-20,2220786
2025-11-21,2223288
2025-11-22,2225423
2025-11-23,2227533
2025-11-24,2229924
2025-11-25,2232573
2025-11-26,2235272
2025-11-27,2237922
2025-11-28,2240482
2025-11-29,2242525
2025-11-30,2244509
2025-12-01,2247176
2025-12-02,2250223
2025-12-03,2253093
2025-12-04,2256215
2025-12-05,2258780
2025-12-06,2260967
2025-12-07,2263362
2025-12-08,2264880
